	selection	cdr_title_num	cdr_track_num	composer_name	artist_name	track_name	track_id	popularity	year_rec	danceability	energy	valence	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	tempo	norm_energy	norm_valence	quadrant
1062	mid_east	KJX1482	KJX1482-0004	Munir Bashir	Omar Bashir	Dabkâ	1q3NQj58dB1HVMt028o1MF	10	                         1998-01-01	0.421	0.421	0.71	0	-10.937	0	0.0628	0.881	0.858	0.102	95.785	0.215750320851509	1.19291754663776	1
1063	mid_east	KJX2195	KJX2195-0001	Abraham Salman	not found	Taksim bayat mawzoun	2YwuLp9vd2iW45agyJMK4C	4	                         1997-01-01	0.491	0.607	0.672	8	-11.392	1	0.0473	0.666	0.875	0.103	93.452	1.25238379742182	1.03171463604258	1
1064	mid_east	KDX2722	KDX2722-0010	Nawaris	not found	Black and white	2YwSnHfmQwToHrTCreCciR	0	                         2019-10-11	0.485	0.666	0.607	2	-9.678	1	0.242	0.207	0.432	0.0377	81.186	1.58120839482853	0.755972815287664	1
1065	mid_east	KJX2318	KJX2318-0008	Munir Bashir	not found	Arabesque	3a7f8uqWVnHaMtz8q1rcdr	1	                         2003-04-21	0.432	0.427	0.666	3	-17.651	1	0.0579	0.332	0.042	0.168	155.916	0.249190110418293	1.00626154489597	1
1066	mid_east	KJX2492	KJX2492-0004	Baghdad Ensemble	not found	Shurouq	79gi17KK3n95eqru1U6yTG	0	                         2005-03-01	0.407	0.443	0.558	6	-10.101	1	0.0288	0.711	0.461	0.213	109.925	0.338362882596384	0.548105904257037	1
1067	mid_east	KJX3959	KJX3959-0008	Rahim AlHaj	not found	Letter 8. Voices to Remember – Zainab	1TTt9gdbybbIOKiDCaSp5l	9	                         2017-04-07	0.485	0.499	0.174	5	-11.579	0	0.0585	0.881	0.584	0.106	86.5	0.650467585219703	-1.08089192912583	2
1068	mid_east	KJX3797	KJX3797-0004	Osama Abdulrasol Quintet	not found	Stairway	7wc3wkDtLObYo4Iu5ywshC	0	                         2016-05-03	0.396	0.408	0.113	2	-9.916	0	0.0325	0.74	0.00115	0.103	105.3	0.14329744345681	-1.33966502244968	2
1069	mid_east	KJX3282	KJX3282-0003	Naseer Shamma	Shabbaz Hussain	El Camino a Shaqlawa. The Path to Shaqlawa	4ci1BVS421CpT6f4Fzxavw	21	                         2011-07-12	0.37	0.532	0.21	2	-12.023	1	0.0511	0.803	0.897	0.1	96.949	0.834386427837016	-0.928173382246189	2
1070	mid_east	KJX2648	KJX2648-0006	Hussein Al A'dhami	not found	Maqam Djaharga	27obfTHef7okGrDZPgGjmv	0	                         2006-11-06	0.39	0.451	0.294	11	-8.01	1	0.0274	0.897	7.12E-05	0.101	101.735	0.38294926868543	-0.571830106193686	2
1071	mid_east	KJX2318	KJX2318-0003	Munir Bashir	not found	Hanan	6mNOyLh1EdjtBZUiZKsOvX	2	                         2003-04-21	0.423	0.454	0.357	4	-6.721	1	0.0669	0.834	0.0566	0.165	94.177	0.399669163468822	-0.304572649154309	2
1072	mid_east	KDX0907	KDX0907-0008	Fawzy Al-Aiedy	Adel Shams El Din	Gharib	6kK6e9MlE14q1iHYIE06Jc	0	                         2000-01-24	0.488	0.0641	0.165	7	-19.355	1	0.0869	0.926	0.915	0.109	91.852	-1.77335982854604	-1.11907156584574	3
1073	mid_east	KJX0984	KJX0984-0005	Husayn Ismâîl al-Azami	Ensemble al-Kindî	Maqâm Awshâr et pasta	5yRr2RKvCKIdgZdvfWBnZF	0	                         1994-01-01	0.394	0.279	0.272	10	-14.024	1	0.0354	0.797	0.024	0.282	100.981	-0.57565803222905	-0.66515810706458	3
1074	mid_east	KJX1730	KJX1730-0001	Naseer Shamma	not found	Min adh-Dhâkira	0Rk788LDbCBz2j0j8HbMar	11	                         1999-01-01	0.476	0.213	0.155	7	-16.27	0	0.0922	0.856	0.64	0.699	91.263	-0.943495717463676	-1.16149338442342	3
1075	mid_east	KJX2492	KJX2492-0002	Baghdad Ensemble	not found	Maqam al-Dasht	1s6sO1o8LrcT9vz5gB06ef	0	                         2005-03-01	0.321	0.364	0.101	3	-10.626	0	0.0345	0.649	0.864	0.124	99.018	-0.101927680032941	-1.39057120474289	3
1076	mid_east	KJX2962	KJX2962-0005	Salim Daoud	not found	Abuthiyya	53y7CdIOofFPQgzipt7P2l	0	                         2008-07-18	0.431	0.247	0.231	8	-11.935	1	0.0325	0.97	0.14	0.0843	105.433	-0.754003576585233	-0.839087563233063	3
1077	mid_east	KJX1482	KJX1482-0002	Munir Bashir	Omar Bashir	Pastâ Baghdadiyya	2OiZPUnoJ8HLO1JCCZdeod	21	                         1998-01-01	0.439	0.246	0.637	5	-16.133	1	0.0538	0.884	0.88	0.126	90.554	-0.759576874846363	0.883238271020701	4
1078	mid_east	KJX2195	KJX2195-0006	Abraham Salman	not found	Sama'i kurd	52meAUwkIgPqBDwJWssANp	3	                         1997-01-01	0.422	0.241	0.473	0	-12.728	1	0.0577	0.919	0.924	0.0965	117.779	-0.787443366152017	0.187520446346766	4
1079	mid_east	KJX2649	KJX2649-0001	Rahim AlHaj	Souhail Kaspar	Taqsīm Maqām Ājam	4PQcpuXtjA1OGO9tcnbDSH	17	                         2006-10-24	0.469	0.355	0.603	6	-12.309	1	0.122	0.948	0.878	0.108	88.997	-0.152087364383117	0.739004087856592	4
1080	mid_east	KJX2962	KJX2962-0001	Mulla Abdussaheb	not found	Ya Yumma Weya Baba	6YXgPPb9kWK252fVNG8OrR	0	                         2008-07-18	0.344	0.218	0.713	3	-12.299	1	0.042	0.973	0.00927	0.46	185.796	-0.915629226158023	1.20564409221106	4
1081	mid_east	KJX3642	KJX3642-0004	Ahmed Mukhtar	not found	Babylonian Fingers	5gdHvlU6s7DAoCXULh900Q	7	                         2015-03-31	0.409	0.204	0.519	0	-18.165	0	0.0606	0.958	0.924	0.114	106.691	-0.993655401813853	0.382660811804089	4
1082	mid_east	KDX2610	KDX2610-0009	Moutribia	not found	Tchambar 'Iraq	21FoPJ0XKfnKwnxIsf69wi	0	                         2010-12-09	0.55	0.488	0.921	8	-7.035	1	0.05	0.995	0.819	0.195	125.878	0.589161304347266	2.08801791862678	1
1083	mid_east	KDX2644	KDX2644-0002	Nawaris	not found	Les mouettes	3W8O3KKHnSuD9eU0jGHv5C	2	                         2017-01-30	0.728	0.529	0.558	0	-12.427	1	0.0702	0.655	0.358	0.0635	100.091	0.817666533053624	0.548105904257037	1
1084	mid_east	KDX2651	KDX2651-0003	Rahim AlHaj	not found	Time to Have Fun	0yVudRHRg77hP1rEEwp51e	9	                         2018-04-27	0.576	0.706	0.883	2	-7.018	0	0.0302	0.484	0.647	0.095	167.88	1.80414032527376	1.9268150080316	1
1085	mid_east	KJX2199	KJX2199-0004	Ahmed Mukhtar	Sattar Al-Saadi	Raqsat al shara	0wXKhPiExkoP9mVOhPyMQ0	0	                         2010-06-29	0.567	0.449	0.874	6	-21.488	1	0.114	0.76	0.896	0.0905	121.228	0.371802672163168	1.88863537131169	1
1086	mid_east	KJX2504	KJX2504-0009	Hassan Falih	Shaker Hassan	Doulab Mukhtar	2SdeZ2jYSvpw5duqXqWN5L	2	                         2005-01-01	0.739	0.449	0.653	0	-11.583	1	0.0582	0.658	0.955	0.162	95.974	0.371802672163168	0.951113180744987	1
1087	mid_east	KDX2644	KDX2644-0001	Nawaris	not found	Raksat Cello	3feXhhA5ARBStrrZIq5XAm	2	                         2017-01-30	0.681	0.532	0.255	5	-13.101	1	0.0351	0.762	0.899	0.101	104.961	0.834386427837016	-0.737275198646634	2
1088	mid_east	KDX2651	KDX2651-0001	Rahim AlHaj	not found	Dialogue	67gTXtzDAynEYYZU0HNK1Z	11	                         2018-04-27	0.597	0.507	0.343	0	-7.941	1	0.0328	0.654	0.759	0.349	92.659	0.695053971308749	-0.36396319516306	2
1089	mid_east	KJX2708	KJX2708-0003	Nouna El Hana	not found	Lam Yajni Shay'an	3OssByzL25jDVlyjbJsWmf	0	                         2000-01-01	0.588	0.461	0.357	5	-10.021	0	0.0352	0.803	0.000253	0.154	111.062	0.438682251296737	-0.304572649154309	2
1090	mid_east	KJX3797	KJX3797-0005	Osama Abdulrasol Quintet	not found	El Burjain	4VcJUuPQJTCupNHevlxW8R	0	                         2016-05-03	0.567	0.613	0.231	9	-6.847	0	0.0389	0.256	0.746	0.154	128.955	1.2858235869886	-0.839087563233063	2
1091	mid_east	KJX2649	KJX2649-0006	Rahim AlHaj	Souhail Kaspar	Taqsīm Maqām Hijaz	0TW2XLh5ONMOpA6Mf4JXSp	6	                         2006-10-24	0.527	0.41	0.312	1	-11.871	1	0.113	0.942	0.748	0.0924	112.184	0.154444039979071	-0.495470832753864	2
